record_id,article_submission_date,article_title,bmjopen_id,opt_in_date,corresponding_author,author_email,study_type,publication_status,article_version,excluded,data_sharing_statement_verbatim_prequt,data_sharing_statement_verbatim_postqut,data_sharing_statement,article_accepted,weblink_data,time_check,qut_recruitment_date,random,badge,withdrawn,withdrawal_date,data_collection_complete
14,,,,21/08/2017,,,7,3,1,0,All raw and unpublished data are available to the public by visiting the CDC's website; https://www.cdc.gov/brfss/index.html.,All raw and unpublished data are available to the public by visiting the CDC's website; https://www.cdc.gov/brfss/index.html,1,1,no,n/a,22/08/2017,2,0,0,,2
15,,,,21/08/2017,,,4,2,1,0,We would like to share our data to anyone who want to take further research. But researchers who want to retrieve the detailed data (detailed protocol) should be approved by ChiCTR.,,,0,,,22/08/2017,2,,,,2
16,,,,21/08/2017,,,9,3,1,0,"Anonymised transcripts can be shared, following the signing of a data sharing agreement, subject to approval from the relevant National ethics committees. For further information Contact Dr. Carina King (c.king@ucl.ac.uk).","Anonymised transcripts can be shared, following the signing of a data sharing agreement, subject to approval from the relevant National ethics committees. For further information please contact Dr. Carina King: c.king@ucl.ac.uk.",2,1,no,,22/08/2017,2,0,0,,2
17,,,,21/08/2017,,,4,2,1,0,All the available collected data were included in the study. The dataset can be made available on demand.,,,,,,22/08/2017,1,,,,2
18,,,,21/08/2017,,,4,3,1,0,"Clinical data will be available at request, but information on diagnosis and medication is not allowed to be shared by the Danish National Patient Register or Statistics Denmark.","Clinical data will be available at request, but information on diagnosis and medication is not allowed to be shared by the Danish National Patient Register or Statistics Denmark.",2,1,no,n/a,22/08/2017,2,0,0,,2
19,,,,23/08/2017,,,7,3,1,0,"This is an open access article, participants gave informed consent for data sharing   free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. All material was deidentified and anonymised and risk of identification is low. The work is made available under the Creative Commons CC0 public domain dedication.",The statistical analysis and exam results of deidentified participant of KD group and control group that were used and analyzed during the current study are available from the corresponding author on reasonable request. Please allow 10 business days for data to be emailed.,2,1,no,n/a,25/08/2017,1,0,,,2
20,,,,23/08/2017,,,1,2,1,0,Additional data are available by emailing Yusui Zhao at zhaoyusui666@163.com.,,,0,,,25/08/2017,1,,,,2
21,,,,23/08/2017,,,4,3,1,0,"Individual participant data that underlie the results reported in this article, after deidentification, so as the study protocol would be available immediately after publication to anyone who wishes to access the data to achieve aims in the approved proposal and for individual participant data meta-analysis. Proposals should be directed to andres_ortiz_f@yahoo.com or to manuel.luque@salud.madrid.org. To gain access, data requestors will need to sign a data access agreement","Individual participant data that underlie the results reported in this article, after deidentification, so as the study protocol would be available immediately after publication to anyone who wishes to access the data to achieve aims in the approved proposal and for individual participant data meta-analysis. Proposals should be directed to andres_ortiz_f@yahoo.com or to manuel.luque@salud.madrid.org. To gain access, data requestors will need to sign a data access agreement.  ",2,1,no,n/a,25/08/2017,2,0,0,,2
22,,,,23/08/2017,,,5,3,1,0,No additional data are available,No additional data are available  ,1,1,no,n/a,25/08/2017,1,0,0,,2
23,,,,23/08/2017,,,2,2,1,1,No additional data available.,,,,,,,,,,,2
24,,,,23/08/2017,,,5,3,1,0,No additional data is available.,Newcastle 85+ Study data may be obtained by agreement from the Data Guardians Group on submission of a data request form (available at: https://research.ncl.ac.uk/85plus/datarequests).,2,1,no,n/a,25/08/2017,2,0,1,1/09/2017,2
25,,,,23/08/2017,,,2,2,1,1,Not applicable,,,0,,,,,,,,2
26,,,,23/08/2017,,,7,3,1,0,Possibility for data sharing can be discussed with the corresponding author.,Possibility for data sharing can be discussed with the corresponding author.,2,1,no,n/a,25/08/2017,1,0,0,,2
27,,,,23/08/2017,,,3,2,1,0,"The data used in this paper were provided by the Korean Centers for Disease Control Research Program contract. We signed a legally binding agreement with the Centers that we would not share the original data to any third parties. Although researchers who are interested can ask for a data request via +82-43-719-6720, it depends on the decision of the Korean Centers for Disease Control.",,,,,,25/08/2017,1,,,,2
28,,,,23/08/2017,,,2,3,1,1,There are no additional data available for this review.,There are no additional data available for this review.,1,1,no,n/a,,,0,0,,2
29,,,,23/08/2017,,,2,3,1,1,This is a systematic review- we will provide the search strategies.,"As this is a systematic review the authors do not have access to all original data sets of the included studies. However, all data available to the authors can be obtained by contact the corresponding author.",2,1,no,n/a,,,,,,2
30,,,,30/08/2017,,,9,3,1,0,All 10 interviews can be provided in Danish upon request.,All 10 interviews can be provided in Danish upon request.,2,1,no,n/a,31/08/2017,1,0,0,,2
31,,,,30/08/2017,,,4,3,1,0,All SAS code used in the study is available upon request from the corresponding author.,All SAS code used in the study is available upon request from the corresponding author.,1,1,no,,31/08/2017,2,0,0,,2
32,,,,30/08/2017,,,5,2,1,0,No additional data are available,,,0,,,31/08/2017,2,,,,2
33,,,,30/08/2017,,,2,2,1,1,No additional unpublished data are available.,,,0,,,,,,,,2
34,,,,30/08/2017,,,2,2,1,1,No additional unpublished data are available.,,,0,,,,,,,,2
35,,,,30/08/2017,,,1,3,1,0,Relevant anonymised patient level data available on reasonable request.,Relevant anonymised patient level data available on reasonable request.,2,1,no,n/a,31/08/2017,2,0,0,,2
36,,,,30/08/2017,,,4,3,1,0,The minimal data underlying all the findings in the manuscript will be available upon request.,The minimal data underlying all the findings in the manuscript will be available upon request.,2,1,no,n/a,31/08/2017,1,0,0,,2
37,,,,19/09/2017,,,7,3,1,0,"All data pertaining to the findings are presented in this paper. However, the data can be obtained from the the corresponding author any time on request.","All data pertaining to the findings are presented in this paper. However, the data can be obtained from the corresponding author at any time on request.",2,1,no,n/a,20/09/2017,2,0,0,,2
38,,,,4/09/2017,,,2,2,1,1,Data sharing statement: no additional data available.,,,0,,,,,,,,2
39,,,,4/09/2017,,,4,2,1,0,No additional data are available,,,,,,6/09/2017,1,,,,2
40,,,,4/09/2017,,,9,3,1,0,No additional data are available.,No additional data are available,1,1,no,n/a,6/09/2017,1,0,0,,2
41,,,,4/09/2017,,,7,3,1,0,No additional data available,No additional data are available.,1,1,no,n/a,6/09/2017,2,0,0,,2
42,,,,4/09/2017,,,5,3,1,0,No additional data available.,No additional data available.,1,1,no,n/a,6/09/2017,1,0,0,,2
43,,,,4/09/2017,,,5,2,1,0,No additional unpublished data are available,,,,,,6/09/2017,2,,,,2
44,,,,4/09/2017,,,7,3,1,0,Some data from this study will be used for publication in a second paper. The data evaluates early retirement due to stress and lack of autonomy in NHS consultants. The data is secured with Dr M. Islam (statistician).,Individual participant data collected under this study were deidentified which are reported in the form of tables. The original proposal of the study will be available upon request. Deidentified data will be shared for noncommercial research purpose given the consent of the lead author after the publications as per guidelines of the BMJ Open.,2,1,no,n/a,6/09/2017,2,0,0,,2
45,,,,4/09/2017,,,1,3,1,0,"Technical appendix, statistical code, and dataset available from the authors on request","Technical appendix, statistical code, and dataset available from the authors on request. ",2,1,no,n/a,6/09/2017,1,0,0,,2
46,,,,4/09/2017,,,5,3,1,0,"The dataset used in this study is available for download from figshare,","The dataset used in this study is available for download from figshare, DOI: 10.6084/m9.figshare.5363428",3,1,DOI: 10.6084/m9.figshare.5363428,5,6/09/2017,1,0,0,,2
47,,,,6/09/2017,,,7,3,1,0,"With respect to the minimum dataset underlying this research, this data is available on request however as the data is via a third party (coronial data), ethical approval and permission from the data custodians, the Australian National Coronial Information System (NCIS) is required before the authors are able to provide their dataset to the person inquiring. There are strict ethical restrictions around use of this data and it can therefore not be sent to a public repository. Once ethical approval and permission from the NCIS as data custodians has been achieved, researchers can contact ncis@ncis.org.au to gain access to the data.","With respect to the minimum dataset underlying this research, this data is available on request however as the data is via a third party (coronial data), ethical approval and permission from the data custodians, the Australian National Coronial Information System (NCIS) is required before the authors are able to provide their dataset to the person inquiring. There are strict ethical restrictions around use of this data and it can therefore not be sent to a public repository. Once ethical approval and permission from the NCIS as data custodians has been achieved, researchers can contact ncis@ncis.org.au to gain access to the data.",2,1,no,n/a,6/09/2017,2,0,0,,2
48,,,,12/09/2017,,,7,2,1,0,No additional data available.,,,,,,14/09/2017,2,,,,2
49,,,,12/09/2017,,,7,3,1,0,"All of the Individual participant data that the results reported in this article, after de-identification (text, tables, figures, and appendices) will be shared.",Anonymised participant data used in the preparation of this article will be made available on request from the lead author.,2,1,no,n/a,14/09/2017,1,0,0,,2
50,,,,12/09/2017,,,5,3,1,0,Data are available through collaboration with the Icelandic Heart Association and the Tromsø study,Data are available through collaboration with the Icelandic Heart Association and the Tromsø study,2,1,no,n/a,14/09/2017,2,0,0,,2
51,,,,12/09/2017,,,9,3,1,0,No additional data available,No additional data available,1,1,no,n/a,14/09/2017,1,0,0,,2
52,,,,12/09/2017,,,7,3,1,0,No additional data available.,No additional data available.,1,1,no,n/a,14/09/2017,1,0,0,,2
53,,,,12/09/2017,,,5,3,1,0,No additional data available.,No additional data available.,1,1,no,n/a,14/09/2017,2,0,0,,2
54,,,,12/09/2017,,,7,2,1,0,No additional data available.,,,,,,14/09/2017,1,,,,2
55,,,,12/09/2017,,,7,3,1,0,No additional unpublished data.,There is no additional unpublished data from this study,1,1,no,n/a,14/09/2017,2,0,0,,2
56,,,,12/09/2017,,,3,3,1,0,The dataset used for this manuscript may be obtained by contacting the corresponding author.,The dataset may be obtained by emailing the corresponding author.,2,1,no,n/a,14/09/2017,2,0,0,,2
57,,,,12/09/2017,,,2,2,1,1,The full analysis code is available on request by FP. The used data is presented in the manuscript.,,,0,,,,,,,,2
58,,,,12/09/2017,,,7,3,1,0,There are no additional data available in relation to this manuscript.,No additional unpublished data from the study are available at the moment  ,1,1,no,n/a,14/09/2017,1,0,0,,2
59,,,,19/09/2017,,,1,3,1,0,Dataset available from the repository DOI: https://doi.org/10.5258/SOTON/D0252,"Due to ethical concerns, supporting data cannot be made openly available. Further information about the data are available from the University of Southampton repository: https://doi.org/10.5258/SOTON/D0252. Adults with cochlear implants are still rare in the general population (approximately 0.01% of the UK population, or approximately 1 in 10,000 people). This makes anonymity more challenging. In addition, sensitive personal data will be collected in this project by virtue of the fact that data relate to a physical condition (deafness). The study protocol is published.5",1,1,no,n/a,20/09/2017,2,0,0,,2
60,,,,19/09/2017,,,7,3,1,0,"Due to concerns about loss of fidelity of personally identifiable data, the dataset is currently not available publicly. However, parts of the dataset will be released anonymised through written requests submitted to the corresponding author.","Due to concerns about loss of fidelity of personally identifiable data, the MELoR dataset is currently not available publicly. However, parts of the dataset will be released anonymised through written requests submitted to the corresponding author.",2,1,no,n/a,20/09/2017,1,0,0,,2
61,,,,19/09/2017,,,2,2,1,1,No additional data is available.,,,,,,,,,,,2
62,,,,19/09/2017,,,7,3,1,0,The Health Survey for England 2014 dataset is available via the UK Data Service  (http://www.ukdataservice.ac.uk). Statistical code is available from the corresponding author at s.scholes@ucl.ac.uk.,The Health Survey for England 2014 dataset is available via the UK Data Service (http://www.ukdataservice.ac.uk). Statistical code is available from the corresponding author at s.scholes@ucl.ac.uk,2,1,http://www.ukdataservice.ac.uk,2,20/09/2017,1,0,0,,2
63,,,,19/09/2017,,,1,3,1,0,The data can be obtained from Palestinian Ministry of Health,The datafile is available upon request to the corresponding author after receiving approval from the Palestinian Ministry of Health.,2,1,no,n/a,20/09/2017,2,0,0,,2
64,,,,19/09/2017,,,7,3,1,0,The study is not completed so data are not available for sharing at this time.,The study is not completed so data are not available for sharing at this time.  ,1,1,no,n/a,20/09/2017,1,0,0,,2
65,,,,19/09/2017,,,1,3,1,0,"There is unpublished data in relation to the progression of all games for all participants, which can be obtained by contacting the chief investigator.","There is unpublished data in relation to the progression of all games for all participants, which can be obtained by contacting the chief investigator.",2,1,no,n/a,20/09/2017,2,0,0,,2
66,,,,25/09/2017,,,4,2,1,0,data can be obtained by asking to   christine.durier@inserm.fr,,,0,,,26/09/2017,1,,,,2
67,,,,25/09/2017,,,7,3,1,0,Data are available from the UK Biobank,No additional data are available.,1,1,no,n/a,26/09/2017,2,0,0,,2
68,,,,25/09/2017,,,5,2,1,0,"Data sharing are available to contact the correspondent author, Dr Yunzhao Hu. Department of Cardiology, Shunde Hospital, Southern Medical University, Penglai Road, Daliang Town, Shunde District, Foshan, 528300, People's Republic of China. E-mail: huyunzhao4406@163.com",,,0,,,26/09/2017,2,,,,2
69,,,,25/09/2017,,,7,3,1,0,"Given the sensitive nature of the data, the dataset is not currently publically available. We are determining ethical clearance to make this data set available to other researchers. All the data has been analysed and is being presented in this article.","Given the sensitive nature of the data, the dataset is not currently publically available. We are determining ethical clearance to make this data set available to other researchers.",1,1,no,n/a,26/09/2017,1,0,0,,2
70,,,,25/09/2017,,,2,2,1,1,No additional data are available.,,,0,,,,,,,,2
71,,,,25/09/2017,,,4,2,1,0,No unpublished data is able to be shared without permission from each data custodian and ethical approval.,,,0,,,26/09/2017,2,,,,2
72,,,,25/09/2017,,,7,3,1,0,The DHS data are publicly available at https://dhsprogram.com/.,The DHS data are publicly available at https://dhsprogram.com/.,2,,https://dhsprogram.com/,n/a,26/09/2017,2,0,0,,2
73,,,,26/09/2017,,,5,2,1,0,The data set from which this study is based is available on request.,,,,,,26/09/2017,1,,,,2
74,,,,25/09/2017,,,2,3,1,1,"The study protocol, data collection form, and the raw data and statistical analysis code for this study are available on the Open Science Framework: https://osf.io/3jdaa/","The study protocol, data collection form, and the raw data and statistical analysis code for this study are available on the Open Science Framework: https://osf.io/3jdaa/",3,1,https://osf.io/3jdaa/,3,,,,,,2
75,,,,25/09/2017,,,7,2,1,0,"This data belong to Bureau of National Health Insurance, Department of Health and managed by the National Health Research Institutes",,,,,,26/09/2017,1,,,,2
76,,,,25/09/2017,,,5,2,1,0,"Unpublished aggregated results will be made available, upon request, by the authors.  Individual level, pseudonymised data will remain within the secure network at University of Surrey, in accordance with University policy.",,,,,,26/09/2017,2,,,,2
77,,,,3/10/2017,,,4,3,1,0,Access to the register data can be sought from the Norwegian Regional Committees for Medical and Health Research Ethics and the Norwegian Data Protection Authority.,Access to the register data can be sought from the Norwegian Regional Committees for Medical and Health Research Ethics and the Norwegian Data Protection Authority.  ,2,1,no,n/a,4/10/2017,2,0,0,,2
78,,,,3/10/2017,,,5,3,1,0,All available data can be obtained by contacting the corresponding author.,All available data can be obtained by contacting the corresponding author.,2,1,no,n/a,4/10/2017,1,0,0,,2
79,,,,3/10/2017,,,4,3,1,0,All data generated or analysed during this study are included in this published article [and its supplementary information files].,All data generated or analysed during this study are included in this published article [and its supplementary information files].,1,1,no,n/a,5/10/2017,1,0,0,,2
80,,,,3/10/2017,,,7,3,1,0,Extra data is available by emailing dagmar.haller-hester@unige.ch,Extra data is available by emailing dagmar.haller-hester@unige.ch,2,1,no,n/a,4/10/2017,2,0,0,,2
81,,,,3/10/2017,,,4,2,1,1,No additional data are available.,,,0,,,5/10/2017,1,,,,2
82,,,,3/10/2017,,,2,2,1,1,No unpublished data used,,,0,,,,,,,,2
83,,,,3/10/2017,,,9,3,1,0,"Presentations of the moderator and experts, and recordings and texts analysed during the current study are available from the corresponding author on reasonable request.","Presentations of the moderator and experts, and recordings and texts analysed during the current study are available from the corresponding author on reasonable request.  ",2,1,no,n/a,4/10/2017,1,0,0,,2
84,,,,3/10/2017,,,4,3,1,0,The database used for the analyses performed in the study is available on request,The database used for the analyses performed in the study is available on request  ,2,1,no,n/a,4/10/2017,2,0,0,,2
85,,,,3/10/2017,,,7,3,1,0,The full dataset is available from the corresponding author on reasonable request.,The full dataset is available from the corresponding author on reasonable request.,2,1,no,n/a,4/10/2017,1,0,0,,2
86,,,,5/10/2017,,,5,2,1,0,There is no additional data unpublished.,,,0,,,4/10/2017,1,,,,2
87,,,,9/10/2017,,,4,3,1,0,A full data set of results is available from the corresponding author upon receiving a reasonable request.,A full data set of results is available from the corresponding author upon receiving a reasonable request.,2,1,no,n/a,10/10/2017,2,0,0,,2
88,,,,9/10/2017,,,4,3,1,0,All available data can be obtained by contacting the corresponding author (Gillian Scanlan).,All available data can be obtained by contacting the corresponding author (Gillian Scanlan).  ,2,1,no,n/a,10/10/2017,2,0,0,,2
89,,,,9/10/2017,,,1,3,1,0,All data requests relating to the ETMI trial should be made to noaba@ariel.ac.il,All data requests relating to the ETMI trial should be made to noaba@ariel.ac.il,2,1,no,n/a,10/10/2017,2,0,0,,2
90,,,,9/10/2017,,,7,3,1,0,Data are available on request.,Data are available on request,2,1,no,n/a,10/10/2017,1,0,0,,2
91,,,,9/10/2017,,,5,3,1,0,Full data set available upon request from the corresponding author at corey.bills@ucsf.edu.,Extra data can be accessed via the Dryad data repository at http://datadryad.org/ with the doi:10.5061/dryad.38n0n ,2,1,http://datadryad.org/ with the doi:10.5061/dryad.38n0n ,1,10/10/2017,1,0,0,,2
92,,,,9/10/2017,,,7,3,1,0,No additional data are available.,No additional data are available.,1,1,no,n/a,10/10/2017,2,0,0,,2
93,,,,9/10/2017,,,2,2,1,1,No additional data is available.,,,0,,,10/10/2017,1,,,,2
94,,,,9/10/2017,,,4,2,1,0,No additional unpublished data are available,,,0,,,10/10/2017,1,,,,2
95,,,,9/10/2017,,,2,2,1,1,No additional unpublished data are available,,,0,,,,,,,,2
96,,,,16/10/2017,,,9,3,1,0,-  ,No additional data are available.,1,1,no,n/a,17/10/2017,2,0,0,,2
97,,,,16/10/2017,,,2,3,1,1,"Additional unpublished data from either the data extraction, analysis and quality appraisal is available from the corresponding author for further scrutiny.",,,0,,,,,,,,1
98,,,,16/10/2017,,,7,2,1,0,All data is presented in the paper. There is no unpublished data.,,,0,,,17/10/2017,1,,,,2
99,,,,16/10/2017,,,4,2,1,0,"All the authors confirm that all data underlying the findings described in the manuscript are fully available without restriction,and all relevant data are within the paper  files.",,,,,,17/10/2017,2,,,,2
100,,,,16/10/2017,,,2,2,1,1,Availability of data and material - The datasets used and/or analysed during the current study (namely the database of articles and extracted data) are available from the corresponding author on reasonable request.,,,0,,,,,,,,2
101,,,,16/10/2017,,,3,3,1,0,No additional data are available,No additional data are available  ,1,1,no,n/a,17/10/2017,2,0,0,,2
102,,,,16/10/2017,,,2,2,1,1,No additional data are available,,,0,,,,,,,,2
103,,,,16/10/2017,,,7,2,1,0,No additional data are available.,,,,,,17/10/2017,2,,,,2
104,,,,16/10/2017,,,5,2,1,0,"The data can be accessed on the National Health Insurance Data Sharing Service homepage of the NHIS (http://nhiss.nhis.or.kr). Applications to use the NHIS-HEALS data will be reviewed by the inquiry committee of research support and, once approved, raw data will be provided to the applicant with a fee.",,,0,,,17/10/2017,1,,,,2
105,,,,16/10/2017,,,4,2,1,0,The data that support the findings of this study are available from the Ministry of Helath including Notifiable Diseases Information System - SINAN-TB and the National Registry System of Health Establishments (SCNES) and from the municipality of Rio de Janeiro including data about the primary care teams.,,,0,,,17/10/2017,2,,,,2
106,,,,16/10/2017,,,3,3,1,0,The original research data presented in this manuscript do not have ethical approval for their use in additional research studies. The anonymised data may be made available following further application for research ethics approval. Please contact the corresponding author.,No additional data from the MiNESS study are available from a repository. Anonymised data is available on request to the corresponding author.,2,1,no,n/a,17/10/2017,1,0,0,,2
107,,,,24/10/2017,,,5,2,1,0,All available data can be obtained by contacting the corresponding author,All available data can be obtained by contacting the corresponding author,2,1,no,,26/10/2017,2,0,0,,2
108,,,,24/10/2017,,,7,2,1,0,All data from the current study were reported in the manuscript .No additional data available,,,0,,,26/10/2017,1,,,,2
109,,,,24/10/2017,,,7,3,1,0,"All the data used in the preparation of this paper has been properly deidentified and no personal identification information was retained in the final data sets. The data used in the paper can be made available upon request and as per the policy of the journal. Authors will also be able and willing to share any additional data, if necessary.","All the data used in the preparation of this paper have been properly de-identified, and no personally identifiable information are retained in the final data sets. The data used in the paper can be made available upon request and per the policy of the journal  ",2,1,no,n/a,26/10/2017,1,0,0,,2
110,,,,24/10/2017,,,5,2,1,0,No additional data are available,,,0,,,26/10/2017,1,,1,,2
111,,,,24/10/2017,,,7,3,1,0,No additional data are available,No additional data are available,1,1,no,n/a,26/10/2017,2,0,0,,2
112,,,,24/10/2017,,,9,3,1,0,No additional data available.,No additional data available  ,1,1,no,n/a,26/10/2017,2,0,0,,2
113,,,,,,,1,3,1,0,Requests for additional unpublished data should be forwarded to danika.tremain@hnehealth.nsw.gov.au,Requests for additional unpublished data should be forwarded to danika.tremain@hnehealth.nsw.gov.au,2,1,no,n/a,26/10/2017,2,0,0,,2
114,,,,24/10/2017,,,7,3,1,0,"The University of Queensland Human Ethics Review Committee imposes restrictions on the data. Anonymised data are available to researchers who meet the conditions of the ethics approval and research governance policy that applies to this study via The University of Queensland (UQ) eSpace. Requests for the data may be sent to the Director of Research, Rural Clinical School, The University of Queensland (rcsrc@uq.edu.au).","The University of Queensland Human Ethics Committee imposes restrictions on the data. Anonymised data are available to researchers who meet the conditions of the ethics approval and research governance policy that applies to this study via The University of Queensland (UQ) eSpace. Requests for the data may be sent to the Director of Research, Rural Clinical School, The University of Queensland (rcsrc@uq.edu.au).",2,1,no,n/a,26/10/2017,2,0,0,,2
115,,,,24/10/2017,,,2,2,1,1,The data will be made publically available within the manuscript.,,,0,,,,,,,,2
116,,,,31/10/2017,,,3,3,1,0,"Access to these data are possible following Human Research Ethics Committee and data custodian approval from the Department of Health, Western Australia.",Access to these data are possible following Human Research Ethics Committee and data custodian approval,2,1,no,n/a,2/11/2017,2,0,0,,2
117,,,,31/10/2017,,,4,3,1,0,"All code required to re-produce this work is available as supplementary files to the publication. The raw collated quarterly count data as well as the python code to produce the year-aggregated variable data used in this study has also been made available [ref 36] in the hope that other researchers will be easily able to reproduce this analysis, and allow further analysis to be conducted to test other research hypotheses.","All code required to re-produce this work is available as supplementary files to the publication. The raw collated quarterly count data as well as the python code to produce the year-aggregated variable data used in this study has also been made available in the hope that other researchers will be easily able to reproduce this analysis, and allow further analysis to be conducted to test other research hypotheses.  ",2,1,no,n/a,2/11/2017,1,0,0,,2
118,,,,31/10/2017,,,4,3,1,0,"All of data is within the manuscript, and no additional data available.  ",No additional data available.,1,1,no,n/a,2/11/2017,1,0,0,,2
119,,,,31/10/2017,,,9,3,1,0,Anonymised interview transcripts can be obtained by the corresponding author on reasonable request.,Anonymised interview transcripts can be obtained by the corresponding author on reasonable request,2,1,no,n/a,2/11/2017,2,0,0,,2
120,,,,31/10/2017,,,7,2,1,0,No additional data are available.  ,,,,,,2/11/2017,1,,,,2
121,,,,31/10/2017,,,5,2,1,0,No additional data are available.,,,0,,,2/11/2017,1,,,,2
122,,,,31/10/2017,,,5,2,1,0,No additional data are available.,,,0,,,2/11/2017,2,,,,2
123,,,,31/10/2017,,,5,3,1,0,No additional data available,No additional data available,1,1,no,n/a,2/11/2017,2,0,0,,2
124,,,,31/10/2017,,,4,3,1,0,None,"Individual participant data including data dictionaries that underlie the results reported in this article will be made available after deidentification. Statistical analysis plan plus analytic code will also be made available beginning 3 months and ending 5 years after article publication to researchers who provide a methodologically sound proposal to achieve aims approved by the GEC Executive Committee and our local Ugandan partners. Proposals should be directed to brian@globalemergencycare.org and to gain access, data requestors will need to sign a data access agreement.  ",2,1,no,n/a,2/11/2017,1,0,0,,2
125,,,,31/10/2017,,,2,3,1,1,Requests for additional details regarding the study protocol may be made by contacting the corresponding author.,Requests for additional details regarding the study protocol may be made by contacting the corresponding author.,2,1,,,,,,,,2
126,,,,31/10/2017,,,7,3,1,0,"The data is owned by ASH New Zealand, and cannot be shared by the authors.","The data is owned by ASH New Zealand, and cannot be shared by the authors.",1,1,no,n/a,2/11/2017,1,0,0,,2
